account,msisdn,country,date,time,status,operator,mcc,mnc,error_code,error_description,message_type,traffic_type,route,latency_ms
HDFC,919876543210,India,2026-07-27,09:15:12,Delivered,Airtel,404,45,0,Success,OTP,D2P,Primary,120
HDFC,919812345678,India,2026-07-27,09:16:10,Delivered,Jio,404,86,0,Success,OTP,D2P,Primary,135
HDFC,919811112222,India,2026-07-27,09:18:44,Failed,Vodafone Idea,404,84,500,Timeout,OTP,D2P,Primary,5000
Paytm,918888777666,India,2026-07-27,10:02:21,Delivered,Airtel,404,45,0,Success,Transactional,D2P,Primary,110
Paytm,918999111222,India,2026-07-27,10:10:33,Failed,Jio,404,86,403,Blocked,Transactional,D2P,Secondary,350
Amazon,971501234567,UAE,2026-07-27,11:20:15,Delivered,Etisalat,424,2,0,Success,OTP,D2P,Primary,145
Amazon,971501234568,UAE,2026-07-27,11:22:08,Failed,du,424,3,504,Gateway Timeout,OTP,D2P,Primary,4200
Netflix,6591234567,Singapore,2026-07-27,12:15:42,Delivered,Singtel,525,1,0,Success,Alert,D2P,Primary,130
Netflix,6591234568,Singapore,2026-07-27,12:16:20,Failed,StarHub,525,5,500,Timeout,Alert,D2P,Secondary,4500
Flipkart,919988776655,India,2026-07-27,13:05:55,Delivered,Airtel,404,45,0,Success,Promotional,D2P,Primary,118
Flipkart,919977665544,India,2026-07-27,13:15:10,Delivered,Jio,404,86,0,Success,Promotional,D2P,Primary,125
Flipkart,919966554433,India,2026-07-27,13:18:32,Failed,Vodafone Idea,404,84,503,SMSC Error,Promotional,D2P,Secondary,4800
Uber,60123456789,Malaysia,2026-07-27,14:00:12,Delivered,Maxis,502,12,0,Success,OTP,D2P,Primary,140
Uber,60123456780,Malaysia,2026-07-27,14:05:55,Failed,Celcom,502,19,500,Timeout,OTP,D2P,Secondary,5100
Swiggy,919811119999,India,2026-07-27,15:11:22,Delivered,Airtel,404,45,0,Success,Alert,D2P,Primary,119
Swiggy,919822228888,India,2026-07-27,15:18:42,Failed,Jio,404,86,504,Gateway Timeout,Alert,D2P,Primary,3900
